id;nombre;telefono;email;nif_cif;direccion;municipio;codigo_postal;notas;activo
1;amongst for shimmering;sew;Leticia3@hotmail.com;substantial whether;talkative zesty barge;yet self-confidence;and absent;median well-off turbulent;true
2;collectivization rarely glum;triumphantly emphasi;Susana_VanegasDominguez52@gmail.com;before;orchestrate inasmuch;brr foolhardy vivaciously;whereas fu;heighten for;false
3;zowie;hmph whether terrafo;Carlos.deAndaValenzuela65@yahoo.com;besides straw;sorrowful;whenever which;plus redes;gah;true
4;preside;diagram;Roser26@yahoo.com;yearn crossly doubtf;pertinent;to lest;mixed mudd;though;true
5;profuse;whoa drum singe;Ramon_RodriguezSaldana82@hotmail.com;until;hence;furthermore pressure;sadly into;worth;false
6;alarmed excepting;against;Marisol88@yahoo.com;whenever angrily but;fill;bowler after;flimsy abo;overconfidently gosh wherever;true
7;out;armchair;Jesus.BalderasBarragan@yahoo.com;natural;voluntarily;recent;implode do;off;true
8;freely wherever;repeatedly aw;Benito99@hotmail.com;passionate tepid bef;rosin;wedge;psst excit;yuck;false
9;because likewise institute;oh;AnaMaria.CaraballoCerda@yahoo.com;mixture ugh for;section unique baritone;huzzah;blushing;jovially whereas;true
10;certainly;round;Sofia.RamosArchuleta11@yahoo.com;while stage;pry provided;wetly amidst ceramic;physical d;exhaust;false
11;carp;miserably gosh;Alejandra_PantojaCornejo@yahoo.com;helpfully aha athwar;dutiful finally;daily kindly;fiercely;eek solicit;true
12;impanel furthermore massive;huzzah because subst;Barbara18@yahoo.com;velvety while psst;ew beyond;fatal gently within;basic;absentmindedly total;true
13;lightly;restructure oh;AnaLuisa11@yahoo.com;farm help internatio;ouch;mmm;fast phooe;amidst tail;true
14;amid ick quarterly;recompense politely;Roberto71@hotmail.com;despite distinct;blindly cannibalise;signature jeopardise outset;now admoni;that;true
15;supposing;extract;Manuela.SantacruzRomero64@hotmail.com;uniform;aha;unto behind option;continuall;cheerfully;false
16;mom;circumference airbus;Benito72@gmail.com;as phew heartache;majestically watery;exasperation construe heating;fast;slowly rationalise;false
17;even;till sheepishly;Jorge79@gmail.com;overproduce incident;evenly oof chasuble;quinoa;dilate;stake;false
18;dreary;gah;AnaMaria11@hotmail.com;across abaft;testify camouflage;injunction courageous;easily qua;aching;true
19;cone who;gulp legend;Antonia92@gmail.com;marketplace gosh;tensely ha;hidden;below now ;more;true
20;surprisingly vice whoever;irritably drat mmm;Alfredo_MaestasOrdonez@hotmail.com;shell mealy;competent;mobilise how positively;fairly pas;kit;true
21;until ick;clean duh outstandin;JuanCarlos_SegoviaAguirre66@hotmail.com;geez;amidst hmph;jump;fiercely r;aw sad dispose;false
22;zowie beside;behind loftily fishe;Ramiro_HolguinGarrido44@hotmail.com;astride as;reluctantly;nor;for loudly;cappelletti adjourn smoke;false
23;impartial;waterlogged;Gregorio.PatinoAyala66@hotmail.com;against out coincide;kissingly;huzzah;as;wherever;true
24;median negative;cod mmm;German.FigueroaCenteno14@hotmail.com;indeed upwardly fair;nougat;lava suffocate cheerfully;stunning w;tomb boss dereference;false
25;sharply;ick teammate industr;Federico_ValenzuelaSantillan@yahoo.com;before unless silent;whereas what;now only;good;pfft bar ugh;true
26;coexist or;yuck indeed;Fernando.LermaMaya25@gmail.com;wherever fen;ha uh-huh;fiercely if into;gee furlou;content;false
27;mammoth;whoa;Sofia92@hotmail.com;honesty hovel rightf;aha gadzooks;near fooey over;over unrip;for;true
28;seriously;opposite fair fragra;Anni_TelloAlejandro3@hotmail.com;faint minion;since;individual wiggly;duh noted;coagulate offset;true
29;aw pocket-watch;release whose;Teodoro.PedrozaEsquibel@gmail.com;celebrated usually w;requirement ouch;pleasant past;reopen;subexpression unto flickering;false
30;shiny;zealous cappelletti;Alfonso.LucioValentin@hotmail.com;begonia finally fail;slip minor;considering cheetah;roundabout;yum finally;true
